음식이름,영양성분,함유량
감자탕,니아신,18.83mg
감자탕,나트륨,"1,169.74mg"
감자탕,단백질,127.06g
감자탕,당질,80.82g
감자탕,레티놀,12.00㎍
감자탕,비타민 A,623.81㎍RE
감자탕,비타민 B,63.92mg
감자탕,비타민 C,106.44mg
감자탕,비타민 E,3.76mg
감자탕,식이섬유,27.77g
감자탕,아연,20.18mg
감자탕,엽산,152.27㎍
감자탕,인,"1,577.97mg"
감자탕,지질,128.48g
감자탕,철분,45.72mg
감자탕,칼륨,"3,918.08mg"
감자탕,칼슘,787.80mg
감자탕,콜레스테롤,426.00mg
더덕무침,베타카로틴,675.82㎍
더덕무침,니아신,1.51mg
더덕무침,나트륨,"2,507.85mg"
더덕무침,단백질,7.63g
더덕무침,당질,30.26g
더덕무침,레티놀,0.00㎍
더덕무침,비타민 A,112.67㎍RE
더덕무침,비타민 B,60.32mg
더덕무침,비타민 C,10.99mg
더덕무침,비타민 E,2.71mg
더덕무침,식이섬유,10.60g
더덕무침,아연,0.49mg
더덕무침,엽산,21.42㎍
더덕무침,인,199.69mg
더덕무침,지질,7.93g
더덕무침,철분,3.71mg
더덕무침,칼륨,466.09mg
더덕무침,칼슘,56.79mg
더덕무침,콜레스테롤,0.00mg
야채 샐러드,베타카로틴,"3,087.75㎍"
야채 샐러드,니아신,3.68mg
야채 샐러드,나트륨,29.45mg
야채 샐러드,단백질,10.06g
야채 샐러드,당질,41.04g
야채 샐러드,레티놀,0.00㎍
야채 샐러드,비타민 A,513.95㎍RE
야채 샐러드,비타민 B,60.54mg
야채 샐러드,비타민 C,69.60mg
야채 샐러드,비타민 E,4.11mg
야채 샐러드,식이섬유,8.27g
야채 샐러드,아연,1.66mg
야채 샐러드,엽산,108.71㎍
야채 샐러드,인,240.85mg
야채 샐러드,지질,24.97g
야채 샐러드,철분,4.95mg
야채 샐러드,칼륨,"1,180.55mg"
야채 샐러드,칼슘,137.95mg
야채 샐러드,콜레스테롤,0.00mg
엘에이갈비,베타카로틴,235.29㎍
엘에이갈비,니아신,37.10mg
엘에이갈비,나트륨,"6,544.75mg"
엘에이갈비,단백질,137.04g
엘에이갈비,당질,72.37g
엘에이갈비,레티놀,80.40㎍
엘에이갈비,비타민 A,119.60㎍RE
엘에이갈비,비타민 B,63.23mg
엘에이갈비,비타민 C,33.40mg
엘에이갈비,비타민 E,16.06mg
엘에이갈비,식이섬유,6.27g
엘에이갈비,아연,25.41mg
엘에이갈비,엽산,78.50㎍
엘에이갈비,인,"1,308.97mg"
엘에이갈비,지질,173.31g
엘에이갈비,철분,20.12mg
엘에이갈비,칼륨,"2,896.96mg"
엘에이갈비,칼슘,300.75mg
엘에이갈비,콜레스테롤,470.50mg
단호박죽,베타카로틴,"4,007.50㎍"
단호박죽,니아신,3.38mg
단호박죽,나트륨,684.84mg
단호박죽,단백질,12.02g
단호박죽,당질,98.28g
단호박죽,레티놀,0.00㎍
단호박죽,비타민 A,668.50㎍RE
단호박죽,비타민 B,60.67mg
단호박죽,비타민 C,66.50mg
단호박죽,비타민 E,9.10mg
단호박죽,식이섬유,8.36g
단호박죽,아연,2.15mg
단호박죽,엽산,79.36㎍
단호박죽,인,257.20mg
단호박죽,지질,1.08g
단호박죽,철분,2.46mg
단호박죽,칼륨,"1,201.20mg"
단호박죽,칼슘,98.40mg
단호박죽,콜레스테롤,0.00mg
계란말이,베타카로틴,160.20㎍
계란말이,니아신,2.35mg
계란말이,나트륨,"2,867.34mg"
계란말이,단백질,44.12g
계란말이,당질,28.55g
계란말이,레티놀,382.50㎍
계란말이,비타민 A,409.20㎍RE
계란말이,비타민 B,60.54mg
계란말이,비타민 C,3.60mg
계란말이,비타민 E,4.50mg
계란말이,식이섬유,5.52g
계란말이,아연,2.77mg
계란말이,엽산,287.02㎍
계란말이,인,657.40mg
계란말이,지질,28.52g
계란말이,철분,6.57mg
계란말이,칼륨,"1,914.51mg"
계란말이,칼슘,479.26mg
계란말이,콜레스테롤,"1,208.50mg"
안심스테이크,베타카로틴,637.05㎍
안심스테이크,니아신,30.18mg
안심스테이크,나트륨,"2,249.90mg"
안심스테이크,단백질,86.84g
안심스테이크,당질,91.79g
안심스테이크,레티놀,155.40㎍
안심스테이크,비타민 A,261.65㎍RE
안심스테이크,비타민 B,62.22mg
안심스테이크,비타민 C,38.55mg
안심스테이크,비타민 E,15.95mg
안심스테이크,식이섬유,12.19g
안심스테이크,아연,20.38mg
안심스테이크,엽산,118.12㎍
